Path,Classification,Confidence,SecondaryFlags,BuiltBy,KeyEvidence,Dependencies,ProposedExtractionAction,Notes
Makefile,BUILD_OR_TOOLING,High,SPLIT_REQUIRED;MISLEADING_NAME,all Amiga targets,hosts both CLV_* profile libs and CLV_CUSTOM_CONTROL_* targets,all src,SPLIT_FILE_BEFORE_OR_DURING_EXTRACTION,Wildcard risk low (explicit object lists); but one Makefile for both arches
templates/Makefile,BUILD_OR_TOOLING,High,LEAVE_BEHIND,templates,template window builds,templates,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/Makefile,BUILD_OR_TOOLING,High,LEAVE_BEHIND,host GCC tests,links real src/*.c with stubs — v1 modules,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/Makefile,BUILD_OR_TOOLING,High,LEAVE_BEHIND,header audit,v1 public header compile matrix,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tools/generate_profile_config.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/header_audit_inventory.py,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/size_report.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/validate_abi.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/validate_benchmark_report.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/validate_cellctl_omission.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/validate_layout.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/validate_no_host_branches.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/validate_no_wb3c_compat.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/validate_platform.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/validate_profile_config.ps1,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
tools/write_header_audit_docs.py,BUILD_OR_TOOLING,High,LEAVE_BEHIND,validate-* / sizes / header audit,v1 profile/ABI/size validation,Makefile profiles,LEAVE_IN_LEGACY_REPOSITORY,
templates/AI_AGENT_GETTING_STARTED.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/AI_AGENT_GUIDE.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/AI_AGENT_LAYOUT_GUIDE.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/AI_AGENT_QUICK_REFERENCE.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/amiga_window_template.c,DEMO_OR_TEST,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/amiga_window_template.h,DEMO_OR_TEST,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/amiga_window_menus_template.c,DEMO_OR_TEST,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/amiga_window_resize_template.c,DEMO_OR_TEST,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/amiga_window_resize_template.old.c,DEMO_OR_TEST,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/PROFESSIONAL_WINDOW_LAYOUT_TEMPLATE.c,DEMO_OR_TEST,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/test_window_template.c,DEMO_OR_TEST,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/COMPILATION_SUCCESS.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/CONSOLE_OUTPUT_FIX.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/GUI_Styling.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/LAYOUT_SYSTEM_OVERVIEW.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/PLACETEXT_ABOVE_FIX.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/QUICK_REFERENCE.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/README_RESIZE_TEMPLATE.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/README_TEMPLATE.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/WINDOW_BOTTOM_BORDER_FIX.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/amiga_gui_research_3x.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/iTidy_Advanced_Settings_Layout_Guide.md,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/Clearing Window Contents Before Gadget Re-Add in GadTools.txt,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
templates/Resizable GadTools Forms on Amiga Workbench 3.0.txt,DOCUMENTATION,High,LEAVE_BEHIND,templates / agent guidance,GadTools window/gadget lifecycle templates,intuition/gadtools,LEAVE_IN_LEGACY_REPOSITORY,Still useful for apps embedding either LV; not RichListview control code
README.md,DOCUMENTATION,High,STALE_DOCUMENTATION;MISLEADING_NAME;SPLIT_REQUIRED,repo front page,Describes only GadTools LISTVIEW_KIND enhancement; omits custom_control_demo,none,REQUIRES_MANUAL_DECISION,Should eventually document both arches or split repos
AGENTS.md,DOCUMENTATION,High,STALE_DOCUMENTATION;MISLEADING_NAME,agent instructions,Primary guidance is GadTools ListView enhancer; barely mentions full custom control,none,REQUIRES_MANUAL_DECISION,
.github/copilot-instructions.md,DOCUMENTATION,High,STALE_DOCUMENTATION,Copilot,mirrors AGENTS legacy focus,none,REQUIRES_MANUAL_DECISION,
DISPLAY_MAP_CAPACITY_REFACTOR_REPORT.md,DOCUMENTATION,High,LEAVE_BEHIND;STALE_DOCUMENTATION,historical,v1 display map capacity,none,ARCHIVE_OR_REMOVE_LATER,
tests/host/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/ascii_format_regression.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/clv_host_test_helpers.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/clv_host_test_helpers.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/clv_platform_test.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/continuation_guide_tests.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/ownership_main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/ownership_tests.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/path_shortening_characterise.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/path_shortening_harness.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/path_shortening_harness.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/path_shortening_main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/path_shortening_tests.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/prepared_display_map_main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/prepared_display_map_tests.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_setup_characterise.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_setup_harness.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_setup_harness.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_setup_main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_setup_tests.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_viewport_characterise.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_viewport_harness.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_viewport_harness.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_viewport_main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/renderer_viewport_tests.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/cellctl_geom_main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/cellctl_geom_tests.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/stubs/exec/list_stubs.c,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/stubs/exec/lists.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/stubs/exec/nodes.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/stubs/exec/types.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/stubs/graphics/text.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/stubs/proto/exec.h,DEMO_OR_TEST,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/README.md,DOCUMENTATION,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/PATH_SHORTENING_TESTS.md,DOCUMENTATION,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/RENDERER_SETUP_TESTS.md,DOCUMENTATION,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/output/PATH_SHORTENING_CHARACTERISATION.md,DOCUMENTATION,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/output/RENDERER_SETUP_CHARACTERISATION.md,DOCUMENTATION,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/host/output/RENDERER_VIEWPORT_CLIPPING_CHARACTERISATION.md,DOCUMENTATION,High,LEAVE_BEHIND,tests/host make test,host GCC regression of v1 modules (not control),src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/clv_char_wrap_amiga_selftest.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make tests / validate-abi,v1 wrap/ABI tests,legacy modules,LEAVE_IN_LEGACY_REPOSITORY,
tests/clv_char_wrap_amiga_selftest.h,DEMO_OR_TEST,High,LEAVE_BEHIND,make tests / validate-abi,v1 wrap/ABI tests,legacy modules,LEAVE_IN_LEGACY_REPOSITORY,
tests/clv_selftest_common.h,DEMO_OR_TEST,High,LEAVE_BEHIND,make tests / validate-abi,v1 wrap/ABI tests,legacy modules,LEAVE_IN_LEGACY_REPOSITORY,
tests/wrap_selftest_main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make tests / validate-abi,v1 wrap/ABI tests,legacy modules,LEAVE_IN_LEGACY_REPOSITORY,
tests/abi/clv_abi_probe.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make tests / validate-abi,v1 wrap/ABI tests,legacy modules,LEAVE_IN_LEGACY_REPOSITORY,
tests/abi/clv_abi_baseline.json,DEMO_OR_TEST,High,LEAVE_BEHIND,make tests / validate-abi,v1 wrap/ABI tests,legacy modules,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/RESULTS.md,DOCUMENTATION,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/client_ascii_api.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/client_char_wrap_api.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/client_details_api.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/client_renderer_api.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_ascii.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_ascii_formatter.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_cell_tracking.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_char_wrap.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_columns.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_compiler.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_config.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_details.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_exec_list_compat.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_path.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_platform.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_renderer.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_sdk_compat.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_selection.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_sort.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_clv_types.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/compile_umbrella.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/include_order_a.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/include_order_b.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/include_order_renderer_selection.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/include_order_selection_renderer.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/internal_renderer_types.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/internal_viewport_api.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_divider.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_platform_free.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_platform_malloc.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_render_cell.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_render_fragment.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_render_max_internal.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_render_node.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_row_node_tags.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_viewport_ascii.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_viewport_renderer_clear.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/header_audit/neg_public_viewport_renderer_set.c,DEMO_OR_TEST,High,LEAVE_BEHIND,header_audit Makefile,v1 public/internal header surface gates,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_ascii.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_cellctl.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_char_wrap.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_config.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_details.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
tests/headers/hdr_exec_compat.c,DEMO_OR_TEST,High,LEAVE_BEHIND,validate-headers,v1 header compile probes,src/custom_listview,LEAVE_IN_LEGACY_REPOSITORY,
